Factor 1,Factor 2,Cluster 1,Cluster 2,Distance
Personalización,Costos operativos,0,2,3.788486954837674
Personalización,Datos,0,2,5.20923653898116
Personalización,Gobierno de datos,0,2,3.1885633121290686
Personalización,Ingresos,0,2,3.3124947600473518
Personalización,Recursos,0,2,8.65373723324963
Personalización,Rediseño,0,2,4.763468767483419
Personalización,Reducción de costos,0,2,2.977147416431472
Personalización,Satisfacción del cliente,0,2,4.269823831338543
Personalización,Soporte técnico,0,2,2.9275613299946253
Personalización,Ventas,0,2,4.816981903610555
Retención,Casos de negocio,0,2,2.1214850149012046
Retención,Costos,0,2,3.994962352473531
Retención,Costos operativos,0,2,2.658597645572511
Retención,Datos,0,2,3.7911781180781383
Retención,Gobierno de datos,0,2,2.3186606247626416
Retención,Ingresos,0,2,2.7356441465340127
Retención,Recursos,0,2,3.3033881200253044
Retención,Rediseño,0,2,2.810879238247229
Retención,Reducción de costos,0,2,2.029317550654303
Retención,Satisfacción del cliente,0,2,2.5381332953493225
Retención,Soporte técnico,0,2,1.8081466045266952
Retención,Ventas,0,2,3.7827139504901752
Valores organizacionales,Casos de negocio,0,2,3.1127832982989574
Valores organizacionales,Costos,0,2,4.87469285169678
Valores organizacionales,Costos operativos,0,2,3.1653548117428962
Valores organizacionales,Datos,0,2,8.749772177806921
Valores organizacionales,Gobierno de datos,0,2,5.271119504607538
Valores organizacionales,Ingresos,0,2,3.7772927817785815
Valores organizacionales,Recursos,0,2,22.258455029952312
Valores organizacionales,Rediseño,0,2,8.024414119470205
Valores organizacionales,Reducción de costos,0,2,3.2703430380544964
Valores organizacionales,Satisfacción del cliente,0,2,4.79910283651933
Valores organizacionales,Soporte técnico,0,2,3.024598637273133
Valores organizacionales,Ventas,0,2,5.1833971435438695
Adaptación,Acuerdos,0,3,3.0552078813853423
Adaptación,Eficiencia,0,3,2.3635547608339027
Adaptación,Experiencia acumulada,0,3,2.8623403765798043
Adaptación,Experiencia del cliente,0,3,2.7968151547107247
Adaptación,Experiencia fluída,0,3,2.5197639575836037
Adaptación,Indicadores,0,3,2.615501596711415
Adaptación,Inversión,0,3,3.406309309167431
Adaptación,Satisfacción,0,3,4.765650790361738
Adaptación,Tecnologías avanzadas,0,3,2.2948140758846822
Automatización,Acuerdos,0,3,3.368274692232321
Automatización,Eficiencia,0,3,3.3797636247397076
Automatización,Experiencia acumulada,0,3,3.1210193349020408
Automatización,Experiencia del cliente,0,3,3.871555119291518
Automatización,Experiencia fluída,0,3,3.598895858750535
Automatización,Indicadores,0,3,4.584428018336979
Automatización,Inversión,0,3,6.038219635770968
Automatización,Satisfacción,0,3,5.392924138383296
Automatización,Tecnologías avanzadas,0,3,2.7053485335685328
Capacitación,Acuerdos,0,3,2.945256170134961
Capacitación,Eficiencia,0,3,2.478495089506389
Capacitación,Experiencia acumulada,0,3,2.7025180549826215
Capacitación,Experiencia del cliente,0,3,2.4665620515481868
Capacitación,Experiencia fluída,0,3,2.6109159523962138
Capacitación,Indicadores,0,3,2.578746405356448
Capacitación,Inversión,0,3,6.144527646810585
Capacitación,Satisfacción,0,3,4.196234735356903
Capacitación,Tecnologías avanzadas,0,3,2.396944566821781
Clientes,Acuerdos,0,3,3.224869158996047
Clientes,Eficiencia,0,3,12.09473491394989
Clientes,Experiencia acumulada,0,3,4.523647889562193
Clientes,Experiencia del cliente,0,3,1.5116638089922076
Clientes,Experiencia fluída,0,3,3.6733145088209134
Clientes,Indicadores,0,3,2.8959162802187057
Clientes,Inversión,0,3,8.661081279700742
Clientes,Satisfacción,0,3,6.0746679966139805
Clientes,Tecnologías avanzadas,0,3,4.154295003051953
Colaboración,Acuerdos,0,3,2.6452616327761036
Colaboración,Eficiencia,0,3,2.7302937973595056
Colaboración,Experiencia acumulada,0,3,2.537728665848029
Colaboración,Experiencia del cliente,0,3,2.6367740862061644
Colaboración,Experiencia fluída,0,3,2.4317815365284594
Colaboración,Indicadores,0,3,2.1146743044191236
Colaboración,Inversión,0,3,6.401790042924643
Colaboración,Satisfacción,0,3,2.8988141386181034
Colaboración,Tecnologías avanzadas,0,3,2.6663030540315114
Competencias,Acuerdos,0,3,2.268542070396263
Competencias,Eficiencia,0,3,1.9790901212331236
Competencias,Experiencia acumulada,0,3,2.8844634233163813
Competencias,Experiencia del cliente,0,3,3.5231781434429563
Competencias,Experiencia fluída,0,3,2.8769298049553793
Competencias,Indicadores,0,3,2.4525669865942197
Competencias,Inversión,0,3,7.992048231691395
Competencias,Satisfacción,0,3,3.4394341442945806
Competencias,Tecnologías avanzadas,0,3,2.7538438151972526
Comunicación,Acuerdos,0,3,2.5656672263926286
Comunicación,Eficiencia,0,3,2.6156941123602797
Comunicación,Experiencia acumulada,0,3,2.8369468755030263
Comunicación,Experiencia del cliente,0,3,2.424030402383229
Comunicación,Experiencia fluída,0,3,3.04440925445614
Comunicación,Indicadores,0,3,3.195227097570733
Comunicación,Inversión,0,3,7.910881702573632
Comunicación,Satisfacción,0,3,4.404032843339171
Comunicación,Tecnologías avanzadas,0,3,2.35818377967621
Conversiones,Acuerdos,0,3,4.799641370796774
Conversiones,Eficiencia,0,3,6.84025875330812
Conversiones,Experiencia acumulada,0,3,7.051211041970852
Conversiones,Experiencia del cliente,0,3,5.779883427843098
Conversiones,Experiencia fluída,0,3,6.145781375873285
Conversiones,Indicadores,0,3,4.874340002177855
Conversiones,Inversión,0,3,3.2414614556845867
Conversiones,Satisfacción,0,3,7.663530545606591
Conversiones,Tecnologías avanzadas,0,3,5.805867804802545
Cultura organizacional,Acuerdos,0,3,4.971001908914443
Cultura organizacional,Eficiencia,0,3,3.0999812141138423
Cultura organizacional,Experiencia acumulada,0,3,2.2947993306988272
Cultura organizacional,Experiencia del cliente,0,3,2.665275890170164
Cultura organizacional,Experiencia fluída,0,3,2.9843717405064893
Cultura organizacional,Indicadores,0,3,3.1497382410034813
Cultura organizacional,Inversión,0,3,24.21763243194337
Cultura organizacional,Satisfacción,0,3,5.315659262414004
Cultura organizacional,Tecnologías avanzadas,0,3,3.363482469024849
Ejecución,Acuerdos,0,3,2.718065946042151
Ejecución,Eficiencia,0,3,1.673335186273163
Ejecución,Experiencia acumulada,0,3,2.294279052289304
Ejecución,Experiencia del cliente,0,3,2.055249716128909
Ejecución,Experiencia fluída,0,3,2.262753006050398
